Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2021,20601,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,7.5,,,6.4,8.6,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,ACCESS2,CrdPrv,Health Insurance
2021,20601,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,22.8,,,20.3,25.4,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2021,20601,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.9,,,14.3,19.6,24156,POINT (-76.85084002 38.61369741),20601,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,20601,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,36.2,,,33,39.3,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2021,20601,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,75.4,,,72.2,78.4,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,BPMED,CrdPrv,Taking BP Medication
2021,20601,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.3,,,4.8,5.8,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2021,20601,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,10.1,,,8.9,11.3,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2020,20601,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,87.9,,,87.2,88.4,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2021,20601,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Crude prevalence,3.9,,,3.5,4.4,24156,POINT (-76.85084002 38.61369741),20601,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2021,20601,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,78.8,,,75.4,81.8,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2021,20601,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.8,,,86.9,90.5,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,20601,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10.5,,,9.2,11.8,24156,POINT (-76.85084002 38.61369741),20601,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,20601,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,74.1,,,73.1,75,24156,POINT (-76.85084002 38.61369741),20601,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
