OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
1,20601,24,2420601,B5,G6350,S,20601,24,115635266,387684,24156,8722,9785,11146,155,880,11,48,849,1282,40.5,46.1,0.6,3.6,0,0.2,3.5,5.3,1922,8,37.3,376,4.3,71.1,11.2,19.9,30.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20601.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20601.pdf,89500.3033527083,190317501.493138
2,20602,24,2420602,B5,G6350,S,20602,24,35830723,352762,24955,9736,8466,13054,116,731,15,58,999,1516,33.9,52.3,0.5,2.9,0.1,0.2,4,6.1,1964,7.9,32.6,769,7.9,59.7,9,34.4,43.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20602.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20602.pdf,42220.2143765428,59304576.1739214
3,20603,24,2420603,B5,G6350,S,20603,24,44239637,219356,28967,10317,9625,15025,98,1446,24,65,1091,1593,33.2,51.9,0.3,5,0.1,0.2,3.8,5.5,1400,4.8,34.5,531,5.1,73.8,4.7,22.6,29.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20603.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20603.pdf,50682.9626000165,72959665.1756024
4,20606,24,2420606,B5,G6350,S,20606,24,7501011,1248760,431,230,377,45,1,4,0,0,0,4,87.5,10.4,0.2,0.9,0,0,0,0.9,108,25.1,49.1,15,6.5,49.7,39.3,18.1,31.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20606.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20606.pdf,41458.2638451601,12211169.5585686
5,20607,24,2420607,B5,G6350,S,20607,24,54357590,448221,9802,3504,2165,6321,33,560,3,6,234,480,22.1,64.5,0.3,5.7,0,0.1,2.4,4.9,847,8.6,40.9,172,4.9,83.1,10.3,7.4,22.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20607.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20607.pdf,58903.0587348953,89628803.3302229
6,20608,24,2420608,B5,G6350,S,20608,24,45583064,5330329,919,426,438,453,5,2,0,0,9,12,47.7,49.3,0.5,0.2,0,0,1,1.3,173,18.8,46.6,39,9.2,60.4,28.2,15.9,14.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20608.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20608.pdf,57818.5043899828,75004038.8527681
7,20609,24,2420609,B5,G6350,S,20609,24,25723294,6602735,1120,554,1009,82,2,1,1,0,15,10,90.1,7.3,0.2,0.1,0.1,0,1.3,0.9,271,24.2,47.6,32,5.8,44.8,38.7,27,28.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20609.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20609.pdf,65971.7957073201,44033557.1469648
8,20611,24,2420611,B5,G6350,S,20611,24,18243786,33481,1078,413,798,215,5,10,0,0,33,17,74,19.9,0.5,0.9,0,0,3.1,1.6,129,12,44.3,22,5.3,63.8,21.8,18.3,24.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20611.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20611.pdf,30676.9548732416,29854741.2600018
9,20612,24,2420612,B5,G6350,S,20612,24,604744,1337569,261,142,245,12,0,0,0,0,1,3,93.9,4.6,0,0,0,0,0.4,1.1,54,20.7,47.3,14,9.9,38.3,43.9,31.7,43.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20612.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20612.pdf,5781.31954070873,989192.719417665
10,20613,24,2420613,B5,G6350,S,20613,24,195821362,3726835,11860,4424,4044,6786,106,186,4,8,321,405,34.1,57.2,0.9,1.6,0,0.1,2.7,3.4,1372,11.6,40.8,249,5.6,73.9,17.4,10.5,26.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/20613.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/20613.pdf,123025.194410692,323305717.546388
